conversation_id,company,context,channel,tone,language,customer_issue,customer_goal,agent_goal,resolved,num_interactions,duration_sec,csat_estimated_1_5,next_action,followup_needed,summary
c0a6f7b9-2f1b-4a3d-9c31-51f5a6c0e9a2,Kavak,buying,telefono,resolutivo,es,"Quiere vender su coche y obtener una oferta en menos de 24 horas; solicita proceso, documentos y tiempos de pago.",Recibir una oferta rápida y conocer requisitos y tiempos.,"Explicar proceso, detallar documentos, KYC y pagos; agendar inspección y enviar enlace para pre-oferta.",True,9,235,5,"Enviar SMS con enlace para carga de documentos y fotos; agendar inspección domiciliaria hoy a las 16:00; emitir pre‑oferta en <2 h tras recibir fotos; emitir oferta final tras inspección; procesar pago SPEI dentro de 24 h tras firma y validaciones KYC; si hay crédito, solicitar carta saldo y coordinar liquidación.",False,"Se confirmó inspección hoy 16:00 a domicilio. Cliente subirá documentos vía enlace seguro para obtener pre‑oferta hoy. Se informó sobre documentos requeridos, KYC, manejo de autos con crédito, tiempos de oferta y pago."
c3a7c2c8-2f8a-4f20-9a6e-7d8a2d1a9e55,Kavak,buying,whatsapp,resolutivo,es,"Quiere vender su coche y recibir una oferta en menos de 24h; pide proceso, documentos y tiempos.","Obtener oferta <24h y entender pasos, papeles y plazos.","Explicar proceso, solicitar datos clave, habilitar carga de documentos, agendar inspección y encaminar oferta preliminar.",False,6,660,5,"Enviar enlace seguro de carga de documentos/fotos, agendar inspección para mañana, abrir ticket y confirmar datos de contacto.",True,"Se explicó proceso de venta con oferta <24h, requisitos de documentos, KYC, inspección sin costo, tiempos y pago por SPEI. Cliente compartió VIN y ciudad; falta enviar enlace y agendar inspección."
whatsapp-2025-10-23-1234,Kavak,buying,whatsapp,apologético,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas; solicita proceso, documentos y tiempos.",Obtener una oferta <24h y conocer requisitos.,"Explicar proceso, requisitos y tiempos, y agendar una inspección en menos de 24h.",False,4,360,4,"Cliente enviará VIN, kilometraje y fotos por WhatsApp; Agente confirmará la cita hoy 5 pm, compartirá ubicación y checklist; realizar inspección, emitir oferta final y proceder a firma y pago SPEI.",True,"Se explicó proceso, documentos y tiempos. Cita pre-agendada para hoy 5 pm; pendiente recibir VIN/fotos para confirmar. Oferta prometida <24h; pago SPEI el mismo día sujeto a KYC y horarios bancarios. Crédito/garantía no aplican en la venta."
a8f2c0a5-2c4f-4d6c-8d0e-5f2a0d9f3b71,Kavak,buying,telefono,formal,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas; solicita proceso, documentos y tiempos de pago.",Obtener oferta <24h y conocer requisitos y plazos.,"Explicar proceso y requisitos, cumplir con KYC/inspección, y agendar cita para avanzar.",True,6,300,5,Enviar enlace seguro y lista de documentos por correo; realizar inspección mañana 11:00; emitir oferta preliminar <24h tras recibir fotos y oferta final tras inspección.,True,"Se explicó el proceso para vender a Kavak, los documentos requeridos y los tiempos: oferta preliminar <24h con fotos, oferta final tras inspección gratuita y validaciones. Pago por SPEI el mismo día de la firma o en 24 h hábiles; se valida identidad y titularidad de cuenta (KYC). Se agendó inspección y se enviará enlace y checklist por correo."
KVK-EMAIL-20251023-7842,Kavak,buying,email,formal,en,"Wants to sell car and receive an offer in under 24 hours; asks for process, required documents, and timelines.","Understand steps, documents, and timing to get a quick offer and proceed.","Explain end-to-end process, outline documentation/KYC, set expectations on timelines, and schedule inspection.",False,4,1800,5,Send appointment confirmation and secure KYC link; await customer confirmation of 3:00–5:00 pm slot and requested photos/docs to finalize pre-offer.,True,"Agent outlined process, documents, KYC, timelines; offered free home inspection tomorrow afternoon and opened a ticket. Awaiting customer confirmation and photos to issue a preliminary offer within 24 hours."
conv-20251023-0007,Kavak,buying,telefono,formal,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas; solicita proceso, documentos y tiempos.",Obtener oferta <24h y conocer requisitos para vender su auto.,"Explicar proceso, requisitos KYC y documentos; agendar inspección y enviar enlace/checklist para cumplir <24h.",True,8,240,5,Enviar enlace de agenda y checklist por SMS; cliente sube documentos y confirma cita hoy; agente valida recepción y da seguimiento post-inspección para emitir oferta y procesar pago SPEI.,True,"Se explicó proceso de compra del auto por Kavak, requisitos de documentos y KYC. Se envió enlace para agendar inspección y checklist. Oferta final comprometida el mismo día o <24h hábiles tras inspección; pago por SPEI al firmar."
7b6a1f7e-6e3c-4d1e-9c6c-2a9d5b9d1f21,Kavak,ask,webchat,amable,en,Wants the status of their car's mechanical evaluation and when payment will arrive.,Know current evaluation status and payment timeline.,"Verify identity, check evaluation status, and set clear payment expectations or escalate if delayed.",False,2,60,4,"Send secure verification form, collect Inspection ID and last 4 digits of registered phone, check status in system; if >48h, escalate to inspection team; confirm documents on file and advise any pending items; share ETA and payment timeline.",True,"Agent requested secure verification, provided standard timelines for evaluation and payment, and will update status after verifying; will escalate if delayed."
f3e4c7a1-2b9d-4b3d-9c41-8f6d2b0d1a55,Kavak,ask,whatsapp,resolutivo,es,Quiere saber el estado de la evaluación mecánica y los tiempos de pago por la venta de su auto.,Conocer avance de inspección y cuándo recibiría el pago si todo está bien.,Verificar identidad y ubicar el caso con folio/VIN; explicar tiempos y requisitos para liberar el pago cumpliendo KYC.,False,2,90,4,"Esperar folio de inspección/orden o VIN y nombre del titular para consultar el estatus. Si el cliente no lo tiene, abrir ticket y escalar a equipo de Inspecciones para actualización por WhatsApp.",True,"Se solicitó folio/VIN para verificar estatus de evaluación. Se informaron tiempos estimados: evaluación 24–48 h hábiles y pago 24–72 h hábiles tras aprobación y firma, con depósito SPEI a cuenta a nombre del titular y verificación de identidad."
email-2025-10-23-001,Kavak,ask,email,resolutivo,en,Wants the status of the mechanical evaluation and when payment will be made.,Get a clear update on inspection progress and payout timing.,"Verify identity securely, provide standard timelines, and set next steps to share the exact status and payout ETA.",False,2,240,4,Await customer verification via secure link; then check order #SO-78421 inspection status and confirm payout ETA; send update within 1 business day.,True,"Agent requested secure verification, provided standard inspection and payment timelines, and committed to a follow-up update with exact status and payout estimate."
8a0f3b7c-2a0c-4e2f-86b0-7e8f0a7c1d42,Kavak,ask,email,entusiasta,es,Consulta por el estado de la evaluación mecánica y tiempos de pago si se aprueba.,Saber en qué va la inspección y cuándo recibiría el pago.,"Explicar tiempos de evaluación, proceso de pago y validación KYC; solicitar número de orden y ofrecer escalación si excede plazo.",False,2,180,5,"Esperar número de orden del cliente para enviar enlace seguro de carga/validación de documentos y verificar estatus. Si la evaluación supera 48 h hábiles, abrir ticket y escalar a Inspecciones.",True,Se explicaron los tiempos de evaluación (24–48 h) y pago (mismo día o hasta 24 h tras validación KYC). Se solicitó el número de orden para revisar estado y se ofreció escalación si hay demoras.
b7f8d1c8-2a4c-4e2a-9b49-3a9c2f7f6b11,Kavak,ask,email,entusiasta,en,Wants the status of the mechanical evaluation and payment timelines if approved.,Confirm if the inspection is done and when they will get paid.,"Verify identity, check inspection status, and set clear payment timeline and next steps.",False,2,480,4,"Await customer’s appointment ID (or VIN/plate) and registered name/email to complete KYC, check inspection status with the workshop, and coordinate payment timing with the Payments team.",True,"Agent requested verification details to check the inspection status and advised that payment is typically processed 24–48 business hours after a passed inspection, signed documents, and bank/KYC verification."
WEB-20251023-001,Kavak,ask,webchat,formal,es,Solicita estado de su evaluación mecánica y los tiempos de pago si todo está aprobado.,Conocer el avance de la evaluación y cuándo recibiría el pago por su auto.,"Validar identidad (KYC), obtener folio, explicar proceso de inspección y pago, y escalar para confirmar el estado.",False,4,180,4,Escalar a equipo de inspecciones con folio EV-10458; enviar actualización por correo en menos de 2 horas; confirmar ventana de pago tras aprobación y coordinar firma.,True,"Se solicitaron datos KYC y folio para consultar el estado. Se explicó proceso: inspección, validación de documentos y pago por SPEI en ~24 h hábiles tras firma. Se abrió ticket y se escaló a inspecciones para actualizar por correo."
eml-2025-10-23-001,Kavak,ask,email,amable,es,Consulta por estado de evaluación mecánica y tiempos de pago de su venta.,Saber en qué va la inspección y cuándo se realizará el pago.,"Solicitar datos para revisar el caso, explicar plazos y requisitos, y definir siguiente paso.",False,2,120,4,Esperar número de orden/VIN del cliente para abrir ticket con el equipo de Inspección y confirmar por email el estatus y la fecha estimada de pago en <24 h hábiles.,True,Agente solicita número de orden para verificar estatus; explica tiempos de inspección y liberación de pago y requisitos de firma/KYC. Pendiente abrir ticket y confirmar por correo.
KAVAK-20251023-SELL-0148,Kavak,buying,telefono,apologético,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas; pide proceso, documentos y tiempos.",Obtener oferta <24h y entender requisitos.,"Explicar proceso, solicitar documentos, agendar inspección hoy y establecer tiempos de oferta y pago.",True,6,330,4,Enviar SMS/WhatsApp con enlace de agendamiento e ingreso de documentos; confirmar ventana de inspección 17:00 en CDMX; seguir validaciones KYC y revisión legal tras inspección.,True,"Cliente desea oferta <24h. Agente explicó proceso (pre‑oferta, inspección gratis, oferta final), documentos requeridos, tiempos de oferta y pago, y aclaró que garantía/crédito no aplican al vender. Se acordó inspección hoy 17:00 y envío de enlace para registro y carga de documentos. Caso VK-SELL-4572 creado."
web-2025-10-23-00087,Kavak,ask,webchat,formal,es,Consulta por el estado de la evaluación mecánica y tiempos de pago por la venta de su auto.,Saber en qué va la evaluación y cuándo recibiría el pago si es aprobada.,"Solicitar folio, explicar tiempos y condiciones de pago (KYC, docs), y escalar para confirmar el estado.",False,4,360,4,Crear ticket y escalar con Taller/Inspección usando folio KV-12345; enviar actualización por correo y SMS en 2–4 h hábiles.,True,"Se explican tiempos de evaluación (24–48 h) y pago por SPEI sujeto a aprobación, contrato firmado, verificación de identidad (KYC) y validación de cuenta. Se recibe folio y se abre ticket para confirmar estado."
kvk-2025-10-23-7f3b2e,Kavak,ask,email,empático,en,Wants the status of the mechanical inspection and payment timeline after selling their car.,Know current evaluation status and when payment will be issued.,"Verify the case, explain standard timelines and requirements, and set a clear next step.",False,2,210,4,Await customer’s Sell ID/VIN/plate and phone number via reply; open a support ticket; escalate to Inspection; send secure KYC/doc link if pending; confirm status and ETA for payout via email.,True,"Customer asked about the mechanical evaluation status and when payment will be issued. Agent requested identifiers, explained standard timelines, KYC and document verification, potential delays, and set the next step to open a ticket and escalate once details are provided."
a8b7c2e9-5f41-4a25-9e8a-9d3f1c0e7f21,Kavak,ask,telefono,formal,es,Quiere saber el estado de la evaluación mecánica de su auto y los tiempos de pago.,Confirmar cuándo termina la evaluación y cuándo recibiría el depósito si todo aprueba.,"Verificar el caso, informar estatus y tiempos de pago, explicar requisitos (KYC/documentos) y dejar seguimiento.",False,8,290,5,"Ticket de seguimiento para confirmar resultado de evaluación hoy y, si aprueba, coordinar firma y liberar pago en 24-48 h hábiles tras verificación KYC y documentos completos.",True,"Se informó que la evaluación está en revisión final con cierre hoy. Pago en 24-48 h hábiles tras aprobación, firma y KYC/documentación completa. Se abrirá ticket para notificar resultado hoy por correo y SMS."
whatsapp-2025-10-23-84A7,Kavak,ask,whatsapp,formal,en,Customer asks for the status of the mechanical evaluation and payment timelines.,Know when the inspection will be completed and when funds will be deposited.,"Verify inspection status, explain payout SLA, confirm required KYC documents, and set a clear follow-up.",False,6,420,4,"Monitor inspection until 6:00 pm local time; send WhatsApp update on completion; if approved, guide customer to sign contract and confirm bank validation; initiate payout within 24–48 business hours.",True,"Verified customer, provided inspection ETA, explained payout process and KYC requirements, and created a follow-up ticket for status update."
email-2025-10-23-ks78f2,Kavak,ask,email,apologético,es,Quiere saber el estado de la evaluación mecánica y cuánto tardan en pagar.,Recibir una actualización y una fecha estimada de pago.,"Brindar tiempos estimados, solicitar datos para verificar el caso y definir siguiente paso.",False,2,420,4,Esperar respuesta del cliente con número de orden o VIN/placa y datos de verificación; abrir ticket y escalar a Taller y Finanzas; enviar actualización en <24 h hábiles.,True,Se informan tiempos estimados de evaluación (24–48 h) y pago (24–72 h tras aprobación y validaciones KYC). Se solicitan datos para consultar el caso y se promete actualización en menos de 24 h hábiles.
webchat-3a8f7c7b-1023,Kavak,ask,webchat,enthusiastic,en,Asking for status of mechanical evaluation and payout timing,Know current inspection status and when payment will be sent if it passes,"Verify identity, check inspection status, set payout expectations, and create a follow-up ticket",False,6,180,5,Inspection team to confirm current stage and payout ETA; send email update within 3 hours; request any missing documents/KYC if needed.,True,"Collected order ID and email, created a support ticket, explained payout timeline (24–48 business hours post-approval), and scheduled an email update within 3 hours pending inspection status confirmation."
web-20251023-evapago-001,Kavak,ask,webchat,resolutivo,es,Quiere saber el estado de la evaluación mecánica y en cuánto tiempo se realiza el pago.,Confirmar avance de la evaluación y tiempos de depósito.,Solicitar folio para consultar el expediente y explicar SLA de evaluación y pago según políticas (KYC y documentos).,False,4,180,4,"Abrir ticket de seguimiento y solicitar al cliente el folio de inspección o VIN/placa y fecha de la cita para consultar el estado en sistema. Al recibirlos, validar si la evaluación está dentro de 24–48 h y, si ya hay contrato firmado y KYC correcto, confirmar pago SPEI en ~24 h hábiles. Si hay retraso, escalar a equipo de Pagos.",True,"Se explicó el SLA: evaluación mecánica en 24–48 h desde la inspección; pago por SPEI en ~24 h hábiles tras firma y validación KYC. No se pudo revisar sin folio, queda ticket abierto a la espera de folio/VIN/placa para verificar y escalar si corresponde."
kvk-web-ASK-20251023-001,Kavak,ask,webchat,directo,es,Quiere saber el estado de la evaluación mecánica y los tiempos de pago.,Confirmar si su coche ya fue evaluado y cuándo recibiría el pago.,Verificar el estado de la inspección y explicar tiempos y requisitos de pago; solicitar datos para seguimiento.,False,4,210,4,Solicitar correo/teléfono del cliente y crear ticket; escalar a equipo de Inspecciones para confirmar estado y tiempos de pago; notificar al cliente por el medio proporcionado.,True,El cliente pidió el estado de la evaluación mecánica y tiempos de pago. El agente explicó los tiempos estimados y requisitos KYC y solicitó folio y contacto. Se propone abrir ticket y escalar a Inspecciones.
c2f0b3b8-1a6e-4e6e-9c61-3f2aa3a0f7b2,Kavak,ask,email,formal,en,Wants update on mechanical evaluation status and payout timing,Know when results and payment will be available,"Provide timelines, document/KYC requirements, and request identifiers to check status",False,2,480,4,"Awaiting customer reply with order/inspection ID or VIN and inspection details; agent to open tracking ticket, verify status, and update within 1 business day; escalate to Operations if beyond SLA.",True,Provided standard timelines: evaluation in 24–48 business hours and payout within 1 business day after approval and KYC. Requested identifiers and any pending documents; outlined next steps and escalation path.
whatsapp-2025-10-23-001,Kavak,ask,whatsapp,formal,es,Solicita estado de evaluación mecánica y tiempos de pago por la venta de su auto.,Saber en qué va la inspección y cuándo recibiría el pago.,"Verificar el estado, explicar plazos de pago y confirmar documentos/KYC.",False,6,420,4,"Esperar cierre de evaluación y confirmar por WhatsApp; si no hay actualización antes de mañana 18:00, abrir ticket de seguimiento y compartir folio al cliente.",True,"Se verificó el estado: evaluación en control de calidad. Pago estimado 24–48 h hábiles tras aprobación, firma y validación KYC con documentos requeridos cargados. Se dará actualización por el mismo canal; si no, se abrirá ticket."
KAVAK-EML-2025-10-23-8472,Kavak,feedback,email,amable,en,Delayed payout transfer; requesting compensation for fees caused by the delay.,Receive the pending transfer and compensation for incurred fees.,"Acknowledge and apologize, expedite payment trace, request needed info securely, set timeline, and explain compensation review policy.",False,2,420,3,Escalate with ticket KAV-572148 to Payments to trace transfer; await customer reply with contract number and bank name; customer to upload required docs via secure portal; provide update within 24–48 business hours; review compensation claim after transfer confirmation and receipts.,True,"Payment delay acknowledged; case escalated to Payments with a trace. Customer asked for contract number, bank name, and to upload verification/banking docs securely. Update promised in 24–48 business hours; compensation to be reviewed per policy after resolution."
wa-7f2c9b81,Kavak,feedback,whatsapp,resolutivo,es,Retraso en la transferencia del pago por la venta del auto; solicita compensación.,Que se libere el pago hoy y recibir compensación por el retraso.,"Verificar estatus del pago, validar datos bancarios/KYC, escalar a Pagos y gestionar solicitud de compensación según política.",False,6,420,3,Escalar ticket PAG-48217 al equipo de Pagos; enviar formulario seguro para carátula bancaria e INE; confirmar estatus y compensación antes de las 18:00 de hoy.,True,"Se reporta retraso en transferencia tras venta. Se abrió ticket con Pagos, se solicitaron documentos para validación KYC y titularidad bancaria vía canal seguro. Se evaluará compensación con Finanzas y se dará actualización con referencia de pago hoy."
webchat-8a4f2c9e-2025-10-23,Kavak,feedback,webchat,amable,en,Delay in bank transfer after car sale; requests compensation,Receive funds immediately and get compensation for the delay,"Verify payment status, expedite release, set expectations, and submit compensation review",False,6,320,3,Payments escalation ticket PAY-90871 created; await bank clearance; send secure upload link if additional KYC/banking proof is required; provide customer update within 24 hours.,True,"Agent apologized for transfer delay, verified status as bank/KYC processing, escalated to Payments (ticket PAY-90871), set 24–48h settlement expectation post-clearance, and submitted a goodwill compensation review with a 3-business-day timeframe."
webchat-20251023-001,Kavak,feedback,webchat,entusiasta,es,Retraso en transferencia y solicitud de compensación,Obtener compensación por cargos y confirmación del pago,"Verificar identidad, revisar pago, escalar a Tesorería y evaluar compensación según política",False,4,210,3,Tesorería revisará el pago y evaluará compensación; enviar enlace seguro para KYC y carga de comprobantes; actualización al cliente por correo en 24–72 h hábiles.,True,"Se recibió queja por retraso en transferencia; se abrió y escaló ticket a Tesorería, se solicitaron datos mínimos y comprobantes, y se acordó revisar compensación según política."
kavak-wh-20251023-7842,Kavak,feedback,whatsapp,directo,es,Retraso en transferencia tras vender su auto; solicita compensación.,Recibir el pago hoy y obtener compensación por el retraso.,Acelerar liberación del pago cumpliendo KYC y abrir solicitud de compensación.,False,6,420,3,Cliente sube INE y estado de cuenta vía enlace seguro; agente escala a Pagos para liberar transferencia y a Finanzas para evaluar compensación; confirmar al cliente en el día hábil.,True,"Se explicó el motivo del retraso (validación bancaria/KYC), se solicitó documentación por canal seguro, se abrió ticket con Pagos y solicitud de compensación con Finanzas; se dará confirmación en el día hábil."
KVK-WEB-20251023-7842,Kavak,feedback,webchat,directo,en,Delayed bank transfer after selling car; requests compensation.,Receive payout immediately and get compensation for delay.,"Verify payout status, escalate to Payments, set clear ETA, log compensation request per policy.",False,6,310,3,Payments escalation under ticket PMT-589214; coordinate with receiving bank; update customer within 24–48 business hours; review and apply compensation per delay policy once funds clear.,True,"Customer reported 5-day payout delay and requested compensation. Agent verified order, found bank hold after KYC completed, escalated to Payments and bank, set 24–48h ETA, and logged compensation request tied to transfer confirmation."
kvk-email-20251023-0001,Kavak,feedback,email,empático,es,Retraso en la transferencia del pago tras la venta del auto; solicita compensación.,Recibir el pago cuanto antes y una compensación por el retraso.,"Verificar y acelerar el pago, mantener informado al cliente y evaluar compensación conforme a políticas.",False,4,3900,3,"Esperar respuesta de Tesorería/Compliance al ticket PAY-58423 en 24 h hábiles; notificar al cliente el estado de la transferencia y, si procede, ofrecer compensación según política.",True,"Se reporta retraso en transferencia de pago tras venta. Se solicitan y reciben datos mínimos (contrato, banco y terminación de cuenta). Se abre y escala ticket para rastreo y conciliación; se revisará compensación si el retraso es atribuible a Kavak."
conv-2025-10-23-001,Kavak,feedback,email,entusiasta,es,Retraso en la transferencia de pago tras vender su auto; solicita compensación.,Recibir el pago hoy y obtener compensación por el retraso.,"Verificar y acelerar la transferencia, escalar a Finanzas y evaluar compensación conforme a política.",False,4,2580,3,Finanzas verificará con el banco el estatus de la transferencia SPEI y la coincidencia de titularidad; Servicio evaluará la compensación conforme a política; compartir actualización al cliente en <24 h hábiles; solicitar documentos faltantes si aplica.,True,"Cliente reporta retraso en la transferencia tras vender su auto y solicita compensación. Agente solicita datos mínimos, crea ticket KAV-58421 y escala a Finanzas/Pagos. Se explican validaciones (inspección, documentos, KYC) y que la compensación se evalúa según política. Se promete actualización en <24 h hábiles."
webchat-2025-10-23-001,Kavak,feedback,webchat,apologético,es,Retraso en la transferencia de pago tras la venta; solicita compensación.,Recibir el pago cuanto antes y obtener compensación por el retraso.,"Validar identidad y documentos, escalar a Pagos, reintentar transferencia y someter solicitud de compensación.",False,5,320,3,"Cliente sube folio de venta, identificación oficial y comprobante de cuenta vía enlace seguro; equipo de Pagos valida KYC y reintenta la transferencia; equipo de Compensaciones evalúa ajuste. Actualizar al cliente por correo en 24 h hábiles.",True,"Se disculpa por el retraso, se abre ticket TCK-20251023-4821 y se envía enlace seguro para verificación KYC y carga de documentos. Pagos reintentará la transferencia tras validar; compensación a evaluar según políticas. Se dará actualización por correo en 24 h hábiles."
web-7c3d2c91-7f6a-4c3f-9d12-9b5a4f21a6b8,Kavak,feedback,webchat,enthusiastic,en,Delayed bank transfer after selling car; requests compensation.,Get the payout immediately and receive compensation for the delay.,"Verify identity, check payment status, escalate to Payments, set clear ETA, and initiate a goodwill review.",False,6,420,3,Escalate to Payments with case PMT-91247 for bank trace and priority release; submit goodwill compensation review; await customer’s redacted bank proof (optional); update customer within 4 business hours and final decision within 1 business day.,True,Payment delay acknowledged; identity verified; case opened with Payments for trace and priority; goodwill review initiated; customer to be updated within 4 hours and compensation decision within 1 business day.
wh-2025-10-23-00123,Kavak,feedback,whatsapp,empático,es,Retraso en la transferencia tras vender su auto; solicita compensación.,Recibir el pago pendiente y una compensación por el atraso.,"Verificar estatus del pago, escalar a Pagos, cumplir validaciones KYC y evaluar compensación según política.",False,8,540,3,Equipo de Pagos revisa ticket PAY-48231; enviar enlace seguro al correo del cliente para validar titularidad de cuenta (KYC) con comprobante; actualizar estatus y respuesta sobre compensación <24 h hábiles.,True,"Se escaló el retraso de transferencia a Pagos, se solicitará validación KYC por enlace seguro y se evaluará compensación según política. Se dará actualización en menos de 24 h hábiles."
